City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,tiksi,76,RU,1516485674,79,71.64,128.87,-25.92,3.83
88,tucupita,68,VE,1516485675,73,9.06,-62.05,81.23,9.19
89,baherden,80,TM,1516485675,85,38.44,57.43,39.61,5.06
90,oktyabrskiy,75,RU,1516483800,92,55.61,37.97,17.6,8.95
91,georgetown,40,GY,1516482000,74,6.8,-58.16,82.4,9.17
92,lahijan,8,IR,1516482000,93,37.21,50.0,46.4,4.38
93,ribeira grande,75,PT,1516482000,100,38.52,-28.7,60.8,12.75
94,marfino,40,RU,1516483800,92,56.07,37.56,17.6,6.71
95,fortuna,0,ES,1516482000,46,38.18,-1.13,60.8,11.41
96,agadez,0,NE,1516485555,39,16.97,7.99,54.59,4.05
97,monopoli,0,IT,1516483200,93,40.95,17.3,44.6,5.82
98,hithadhoo,68,MV,1516485681,100,-0.6,73.08,76.87,2.48
99,port macquarie,48,AU,1516482000,82,-31.43,152.91,66.2,4.7
100,haverfordwest,80,GB,1516481400,86,51.8,-4.97,41.0,8.05
101,juba,76,EE,1516485000,85,57.82,26.93,24.8,4.7
102,deputatskiy,0,RU,1516485683,0,69.3,139.9,-39.01,2.71
103,butaritari,12,KI,1516485684,100,3.07,172.79,82.85,16.8
104,hermanus,44,ZA,1516485684,89,-34.42,19.24,68.32,8.86
105,cape town,0,ZA,1516482000,69,-33.93,18.42,77.0,11.41
106,mahebourg,20,MU,1516482000,94,-20.41,57.7,75.2,4.7
107,shadegan,0,IR,1516482000,66,30.65,48.67,50.0,6.96
108,benguela,8,AO,1516485686,100,-12.58,13.4,73.72,3.27
109,walvis bay,0,NA,1516482000,82,-22.95,14.51,62.6,3.36
110,nandyal,0,IN,1516485687,88,15.47,78.48,59.59,3.71
111,gushikawa,1,JP,1516485360,93,26.35,127.87,64.4,6.93
112,pevek,0,RU,1516485688,100,69.7,170.27,-34.42,1.7
113,carnarvon,80,ZA,1516485688,22,-30.97,22.13,69.67,2.15
114,aklavik,40,CA,1516482000,75,68.22,-135.01,-14.81,15.35
115,port elizabeth,1,US,1516485300,49,39.31,-74.98,57.2,6.93
